FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Bahrain,2023-01-05 04:21:04,26.0275,50.55,698952,1539,,,Bahrain,41076.573990219695,0.2201867939429317
,,,Bangladesh,2023-01-05 04:21:04,23.685,90.3563,2037208,29440,,,Bangladesh,1237.000201767712,1.4451150790690004
,,,Barbados,2023-01-05 04:21:04,13.1939,-59.5432,105515,568,,,Barbados,36717.34447804406,0.5383120883286736
,,,Belarus,2023-01-05 04:21:04,53.7098,27.9534,994037,7118,,,Belarus,10519.665910386577,0.7160699249625517
,,Antwerp,Belgium,2023-01-05 04:21:04,51.2195,4.4024,752180,0,,,"Antwerp, Belgium",40483.62043632191,0.0
,,Brussels,Belgium,2023-01-05 04:21:04,50.8503,4.3517,501823,0,,,"Brussels, Belgium",41523.00871628789,0.0
,,East Flanders,Belgium,2023-01-05 04:21:04,51.0362,3.7373,631890,0,,,"East Flanders, Belgium",41707.14900492653,0.0
,,Flemish Brabant,Belgium,2023-01-05 04:21:04,50.9167,4.5833,456805,0,,,"Flemish Brabant, Belgium",39854.73422470391,0.0
,,Hainaut,Belgium,2023-01-05 04:21:04,50.5257,4.0621,513756,0,,,"Hainaut, Belgium",38219.0395918589,0.0
,,Liege,Belgium,2023-01-05 04:21:04,50.4496,5.8492,415567,0,,,"Liege, Belgium",37540.19902582855,0.0
,,Limburg,Belgium,2023-01-05 04:21:04,50.9739,5.342,345232,0,,,"Limburg, Belgium",39498.05960313392,0.0
,,Luxembourg,Belgium,2023-01-05 04:21:04,50.0547,5.4677,121936,0,,,"Luxembourg, Belgium",42838.97441662743,0.0
,,Namur,Belgium,2023-01-05 04:21:04,50.331,4.8221,201053,0,,,"Namur, Belgium",40672.22980832448,0.0
,,Unknown,Belgium,2023-01-05 04:21:04,,,62662,33228,,,"Unknown, Belgium",,53.027353100762824
,,Walloon Brabant,Belgium,2023-01-05 04:21:04,50.4,4.35,172228,0,,,"Walloon Brabant, Belgium",42673.04923946789,0.0
,,West Flanders,Belgium,2023-01-05 04:21:04,51.0536,3.1458,493116,0,,,"West Flanders, Belgium",41237.46859832279,0.0
,,,Belize,2023-01-05 04:21:04,17.1899,-88.4976,70174,688,,,Belize,17648.464241073787,0.9804200986120215
,,,Benin,2023-01-05 04:21:04,9.3077,2.3158,27982,163,,,Benin,230.813684639977,0.5825173325709384
,,,Bhutan,2023-01-05 04:21:04,27.5142,90.4336,62531,21,,,Bhutan,8103.943432709704,0.03358334266203963
,,,Bolivia,2023-01-05 04:21:04,-16.2902,-63.5887,1167025,22313,,,Bolivia,9997.619298298669,1.9119556136329556
,,,Bosnia and Herzegovina,2023-01-05 04:21:04,43.9159,17.6791,401058,16230,,,Bosnia and Herzegovina,12224.34059829646,4.046796223987553
,,,Botswana,2023-01-05 04:21:04,-22.3285,24.6849,328071,2876,,,Botswana,13950.821240631478,0.8766395079113972
,,Acre,Brazil,2023-01-05 04:21:04,-9.0238,-70.812,159189,2040,,,"Acre, Brazil",18049.96966896653,1.2814955807247987
,,Alagoas,Brazil,2023-01-05 04:21:04,-9.5713,-36.782,335571,7208,,,"Alagoas, Brazil",10054.992618410315,2.147980606190642
,,Amapa,Brazil,2023-01-05 04:21:04,0.902,-52.003,182643,2166,,,"Amapa, Brazil",21595.8738653307,1.1859200735861763
,,Amazonas,Brazil,2023-01-05 04:21:04,-3.4168,-65.8561,624951,14420,,,"Amazonas, Brazil",15078.691607410805,2.3073808986624553
,,Bahia,Brazil,2023-01-05 04:21:04,-12.5797,-41.7007,1771936,31265,,,"Bahia, Brazil",11913.725376290991,1.7644542466545068
,,Ceara,Brazil,2023-01-05 04:21:04,-5.4984,-39.3206,1440131,28068,,,"Ceara, Brazil",15770.025179373197,1.9489893627732477
,,Distrito Federal,Brazil,2023-01-05 04:21:04,-15.7998,-47.8645,889726,11838,,,"Distrito Federal, Brazil",29507.36053975965,1.3305219809244644
,,Espirito Santo,Brazil,2023-01-05 04:21:04,-19.1834,-40.3089,1313725,14975,,,"Espirito Santo, Brazil",32690.704589849825,1.1398884850330169
,,Goias,Brazil,2023-01-05 04:21:04,-15.827,-49.8362,1831341,27807,,,"Goias, Brazil",26093.5968747088,1.518395536385632
,,Maranhao,Brazil,2023-01-05 04:21:04,-4.9609,-45.2744,488891,11035,,,"Maranhao, Brazil",6909.943363993091,2.257149344127832
,,Mato Grosso,Brazil,2023-01-05 04:21:04,-12.6819,-56.9211,864290,15025,,,"Mato Grosso, Brazil",24804.087627774243,1.7384211317960407
,,Mato Grosso do Sul,Brazil,2023-01-05 04:21:04,-20.7722,-54.7852,596398,10924,,,"Mato Grosso do Sul, Brazil",21460.993326342774,1.8316627487013706
,,Minas Gerais,Brazil,2023-01-05 04:21:04,-18.5122,-44.555,4094015,64519,,,"Minas Gerais, Brazil",19339.86215840101,1.5759346265218863
,,Para,Brazil,2023-01-05 04:21:04,-1.9981,-54.9306,861557,18965,,,"Para, Brazil",10014.7683358974,2.201247276732706
,,Paraiba,Brazil,2023-01-05 04:21:04,-7.24,-36.782,701083,10531,,,"Paraiba, Brazil",17448.005003326176,1.502104601024415
,,Parana,Brazil,2023-01-05 04:21:04,-25.2521,-52.0215,2867453,45760,,,"Parana, Brazil",25078.39586942648,1.5958413267802471
,,Pernambuco,Brazil,2023-01-05 04:21:04,-8.8137,-36.9541,1125192,22583,,,"Pernambuco, Brazil",11773.397937506166,2.007035243762842
,,Piaui,Brazil,2023-01-05 04:21:04,-7.7183,-42.7289,415049,8036,,,"Piaui, Brazil",12680.116594418902,1.9361569356871116
,,Rio Grande do Norte,Brazil,2023-01-05 04:21:04,-5.4026,-36.9541,583037,8692,,,"Rio Grande do Norte, Brazil",16625.64698320688,1.4908144766112614
,,Rio Grande do Sul,Brazil,2023-01-05 04:21:04,-30.0346,-51.2177,2909726,41555,,,"Rio Grande do Sul, Brazil",25574.97473684081,1.4281413438928614
,,Rio de Janeiro,Brazil,2023-01-05 04:21:04,-22.9068,-43.1729,2705998,76534,,,"Rio de Janeiro, Brazil",15673.367702401334,2.8283095552916153
,,Rondonia,Brazil,2023-01-05 04:21:04,-11.5057,-63.5806,473198,7404,,,"Rondonia, Brazil",26625.666418151894,1.5646727162836698
,,Roraima,Brazil,2023-01-05 04:21:04,-2.7376,-62.0751,181332,2180,,,"Roraima, Brazil",29934.57815871276,1.2022147221670747
,,Santa Catarina,Brazil,2023-01-05 04:21:04,-27.2423,-50.2189,1959822,22607,,,"Santa Catarina, Brazil",27353.52392841212,1.1535231260798176
,,Sao Paulo,Brazil,2023-01-05 04:21:04,-23.5505,-46.6333,6327470,177572,,,"Sao Paulo, Brazil",13779.618998642589,2.80636652564137
,,Sergipe,Brazil,2023-01-05 04:21:04,-10.5741,-37.3857,358413,6490,,,"Sergipe, Brazil",15592.013907015107,1.8107602123806894
,,Tocantins,Brazil,2023-01-05 04:21:04,-10.1753,-48.2982,361001,4212,,,"Tocantins, Brazil",22951.79627508001,1.1667557707596379
,,,Brunei,2023-01-05 04:21:04,4.5353,114.7277,266819,225,,,Brunei,60989.56988042964,0.08432682829933401
,,,Bulgaria,2023-01-05 04:21:04,42.7339,25.4858,1292778,38116,,,Bulgaria,18605.285067378383,2.9483793814560584
,,,Burkina Faso,2023-01-05 04:21:04,12.2383,-1.5616,22006,395,,,Burkina Faso,105.2753544204885,1.794965009542852
,,,Burma,2023-01-05 04:21:04,21.9162,95.956,633696,19490,,,Burma,1164.6726690419007,3.075607231227592
,,,Burundi,2023-01-05 04:21:04,-3.3731,29.9189,52051,38,,,Burundi,437.7424830210901,0.07300532170371367
,,,Cabo Verde,2023-01-05 04:21:04,16.5388,-23.0418,63207,412,,,Cabo Verde,11368.410829010698,0.6518265381998829
,,,Cambodia,2023-01-05 04:21:04,11.55,104.9167,138609,3056,,,Cambodia,829.052218584505,2.204763038475135
,,,Cameroon,2023-01-05 04:21:04,3.848,11.5021,123993,1965,,,Cameroon,467.0897131093567,1.5847668820014034
,,Alberta,Canada,2023-01-05 04:21:04,53.9333,-116.5765,622428,5351,,,"Alberta, Canada",14103.952146609245,0.8596978285038591
,,British Columbia,Canada,2023-01-05 04:21:04,53.7267,-127.6476,391897,4806,,,"British Columbia, Canada",7667.841211273828,1.2263426359477108
,,Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,2020-12-21 13:27:30,,,13,0,,,"Grand Princess, Canada",,0.0
,,Manitoba,Canada,2023-01-05 04:21:04,53.7609,-98.8139,153507,2331,,,"Manitoba, Canada",11143.746320372087,1.5184975278000352
,,New Brunswick,Canada,2023-01-05 04:21:04,46.5653,-66.4619,84891,635,,,"New Brunswick, Canada",10883.55921142882,0.7480180466716142
,,Newfoundland and Labrador,Canada,2023-01-05 04:21:04,53.1355,-57.6604,53914,288,,,"Newfoundland and Labrador, Canada",10340.931976638249,0.5341840709277739
,,Northwest Territories,Canada,2023-01-05 04:21:04,64.8255,-124.8457,11511,22,,,"Northwest Territories,Canada",25634.687332977017,0.1911215359221614
,,Nova Scotia,Canada,2023-01-05 04:21:04,44.682,-63.7443,134483,674,,,"Nova Scotia, Canada",13758.45689375594,0.501178587628176
,,Nunavut,Canada,2023-01-05 04:21:04,70.2998,-83.1076,3531,7,,,"Nunavut, Canada",9105.20887055183,0.19824412347776835
,,Ontario,Canada,2023-01-05 04:21:04,51.2538,-85.3232,1553871,15538,,,"Ontario, Canada",10562.053237847344,0.9999543076613181
,,Prince Edward Island,Canada,2023-01-05 04:21:04,46.5107,-63.4168,55679,82,,,"Prince Edward Island, Canada",35204.668748972545,0.14727275992744124
,,Quebec,Canada,2023-01-05 04:21:04,52.9399,-73.5491,1287264,17700,,,"Quebec, Canada",15077.455522429176,1.375009322097099
,,Repatriated Travellers,Canada,2023-01-05 04:21:04,,,13,0,,,"Repatriated Travellers, Canada",,0.0
,,Saskatchewan,Canada,2023-01-05 04:21:04,52.9399,-106.4509,150942,1781,,,"Saskatchewan, Canada",12773.66023901847,1.1799234142915822
,,Yukon,Canada,2023-01-05 04:21:04,64.2823,-135.0,4989,32,,,"Yukon, Canada",12145.187204829836,0.6414111044297455
,,,Central African Republic,2023-01-05 04:21:04,6.6111,20.9394,15351,113,,,Central African Republic,317.841617105929,0.7361083968471109
,,,Chad,2023-01-05 04:21:04,15.4542,18.7322,7651,194,,,Chad,46.57899474237542,2.535616259312508
,,Antofagasta,Chile,2023-01-05 04:21:04,-23.6509,-70.3975,179173,1924,,,"Antofagasta, Chile",29491.847369859137,1.0738225067392966
,,Araucania,Chile,2023-01-05 04:21:04,-38.9489,-72.3311,286604,2852,,,"Araucania, Chile",29941.163196911068,0.9951012546928864
,,Arica y Parinacota,Chile,2023-01-05 04:21:04,-18.594,-69.4785,78486,883,,,"Arica y Parinacota, Chile",34717.87249854026,1.1250414086588691
,,Atacama,Chile,2023-01-05 04:21:04,-27.5661,-70.0503,112226,700,,,"Atacama, Chile",38840.05205160862,0.623741379003083
,,Aysen,Chile,2023-01-05 04:21:04,-45.9864,-73.7669,35046,211,,,"Aysen, Chile",33973.128598848365,0.6020658563031445
,,Biobio,Chile,2023-01-05 04:21:04,-37.4464,-72.1416,496472,4732,,,"Biobio, Chile",31890.442284036857,0.9531252517765353
,,Coquimbo,Chile,2023-01-05 04:21:04,-29.959,-71.3389,204309,1910,,,"Coquimbo, Chile",26968.42338691581,0.9348584741739229
,,Los Lagos,Chile,2023-01-05 04:21:04,-41.9198,-72.1416,238326,2523,,,"Los Lagos, Chile",28758.74252450803,1.0586339719543818
,,Los Rios,Chile,2023-01-05 04:21:04,-40.231,-72.3311,143968,1379,,,"Los Rios, Chile",37410.12428638618,0.9578517448321849
,,Magallanes,Chile,2023-01-05 04:21:04,-52.368,-70.9863,66565,768,,,"Magallanes, Chile",39971.05678754361,1.1537594832118983
,,Maule,Chile,2023-01-05 04:21:04,-35.5183,-71.6885,338328,3280,,,"Maule, Chile",32377.43432700129,0.9694734104182923
,,Metropolitana,Chile,2023-01-05 04:21:04,-33.4376,-70.6505,1911660,30493,,,"Metropolitana, Chile",26876.305391625923,1.5951058242574516
,,Nuble,Chile,2023-01-05 04:21:04,-36.7226,-71.7622,153157,1287,,,"Nuble, Chile",31867.27672598724,0.8403141874024693
,,OHiggins,Chile,2023-01-05 04:21:04,-34.5755,-71.0022,215481,2793,,,"OHiggins, Chile",23561.294837379926,1.2961699639411364
,,Tarapaca,Chile,2023-01-05 04:21:04,-19.9232,-69.5132,111430,1158,,,"Tarapaca, Chile",33709.66668481779,1.0392174459301804
,,Unknown,Chile,2023-01-05 04:21:04,,,42,2,,,"Unknown, Chile",,4.761904761904762
,,Valparaiso,Chile,2023-01-05 04:21:04,-33.0472,-71.6127,476812,6348,,,"Valparaiso, Chile",26257.58438506043,1.3313423319882889
,,Anhui,China,2023-01-05 04:21:04,31.8257,117.2264,1762,7,,,"Anhui, China",2.6881720430107525,0.35294117647058826
,,Beijing,China,2023-01-05 04:21:04,40.1824,116.4142,38495,20,,,"Beijing, China",133.983286908078,0.0693000693000693
,,Chongqing,China,2023-01-05 04:21:04,30.0572,107.874,13954,9,,,"Chongqing, China",32.820760799484205,0.06875552499754445
,,Fujian,China,2023-01-05 04:21:04,26.0789,117.9874,13629,2,,,"Fujian, China",19.413854351687387,0.013070186903672723
,,Gansu,China,2023-01-05 04:21:04,35.7518,104.2861,1576,2,,,"Gansu, China",5.927189988623436,0.12795905310300704
,,Guangdong,China,2023-01-05 04:21:04,23.3417,113.4244,93018,9,,,"Guangdong, China",56.17750749162701,0.012551185302562011
,,Guangxi,China,2023-01-05 04:21:04,23.8298,108.7881,5835,2,,,"Guangxi, China",4.987819732034104,0.0814000814000814
,,Guizhou,China,2023-01-05 04:21:04,26.8154,106.8748,2133,2,,,"Guizhou, China",4.983333333333333,0.11148272017837235
,,Hainan,China,2023-01-05 04:21:04,19.1959,109.7453,10469,6,,,"Hainan, China",111.73447537473234,0.05749329244921426
,,Hebei,China,2023-01-05 04:21:04,37.8957,114.9042,3150,7,,,"Hebei, China",3.894917946003176,0.23785253143051308
,,Heilongjiang,China,2023-01-05 04:21:04,47.862,127.7615,6114,15,,,"Heilongjiang, China",14.558706599522926,0.23666484616785
,,Henan,China,2023-01-05 04:21:04,33.882,113.614,9591,23,,,"Henan, China",9.46277980218636,0.2530531411596435
,,Hong Kong,China,2023-01-05 04:21:04,22.3,114.2,2701833,12081,,,"Hong Kong, China",36038.91322755218,0.44714088546553393
,,Hubei,China,2023-01-05 04:21:04,30.9756,112.2707,71443,4513,,,"Hubei, China",116.37823221226974,6.552330056200171
,,Hunan,China,2023-01-05 04:21:04,27.6104,111.7088,5853,4,,,"Hunan, China",4.323815045658791,0.1340931947703654
,,Inner Mongolia,China,2023-01-05 04:21:04,44.0935,113.9448,8640,1,,,"Inner Mongolia, China",33.125493291239145,0.011913271384322134
,,Jiangsu,China,2023-01-05 04:21:04,32.9711,119.455,3931,0,,,"Jiangsu, China",4.729847223947336,0.0
,,Jiangxi,China,2023-01-05 04:21:04,27.614,115.7221,2904,1,,,"Jiangxi, China",4.240533562822719,0.050735667174023336
,,Jilin,China,2023-01-05 04:21:04,43.6661,126.1923,40646,5,,,"Jilin, China",149.7226331360947,0.012350253180190195
,,Liaoning,China,2023-01-05 04:21:04,41.2956,122.6085,3443,2,,,"Liaoning, China",7.079605414085799,0.06480881399870382
,,Macau,China,2023-01-05 04:21:04,22.1667,113.55,2907,61,,,"Macau, China",241.6292185011904,0.82855321861058
,,Ningxia,China,2023-01-05 04:21:04,37.2692,106.1655,793,0,,,"Ningxia, China",3.4738372093023258,0.0
,,Qinghai,China,2023-01-05 04:21:04,35.7452,95.9956,655,0,,,"Qinghai, China",8.988391376451078,0.0
,,Shaanxi,China,2023-01-05 04:21:04,35.1917,108.8701,6733,5,,,"Shaanxi, China",14.464285714285714,0.05367686527106817
,,Shandong,China,2023-01-05 04:21:04,36.3427,118.1498,5171,9,,,"Shandong, China",4.774559570020902,0.16677089847821555
,,Shanghai,China,2023-01-05 04:21:04,31.202,121.4491,66884,595,,,"Shanghai, China",269.89686468646863,0.9094660899072192
,,Shanxi,China,2023-01-05 04:21:04,37.5777,112.2922,6498,1,,,"Shanxi, China",13.830016137708446,0.0
,,Sichuan,China,2023-01-05 04:21:04,30.6171,102.7103,13758,11,,,"Sichuan, China",14.414338808296367,0.04158695832986775
,,Tianjin,China,2023-01-05 04:21:04,39.3054,117.323,3947,3,,,"Tianjin, China",18.673076923076923,0.10298661174047374
,,Tibet,China,2023-01-05 04:21:04,31.6927,88.0924,1539,0,,,"Tibet, China",44.0406976744186,0.0
,,Unknown,China,2023-01-05 04:21:04,,,1521800,0,,,"Unknown, China",,0.0
,,Xinjiang,China,2023-01-05 04:21:04,41.1129,85.2401,2931,3,,,"Xinjiang, China",10.58303176517893,0.11398176291793313
,,Yunnan,China,2023-01-05 04:21:04,24.974,101.487,8508,2,,,"Yunnan, China",11.513457556935816,0.03596475454055026
,,Zhejiang,China,2023-01-05 04:21:04,29.1832,120.0934,6624,1,,,"Zhejiang, China",10.868049503224682,0.01603849238171612
,,Amazonas,Colombia,2023-01-05 04:21:04,-1.4429,-71.5724,7835,265,,,"Amazonas, Colombia",10229.928579822168,3.382259093809828
,,Antioquia,Colombia,2023-01-05 04:21:04,7.1986,-75.3412,947893,18551,,,"Antioquia, Colombia",14794.410952096596,1.9570774338453814
,,Arauca,Colombia,2023-01-05 04:21:04,7.0762,-70.7105,17051,565,,,"Arauca, Colombia",6503.696018674621,3.3135886458272243
,,Atlantico,Colombia,2023-01-05 04:21:04,10.6966,-74.8741,417510,10225,,,"Atlantico, Colombia",16466.46423589351,2.4490431366913366
,,Bolivar,Colombia,2023-01-05 04:21:04,8.6704,-74.03,203303,3275,,,"Bolivar, Colombia",9820.879083720189,1.6108960517060742
,,Boyaca,Colombia,2023-01-05 04:21:04,5.4545,-73.362,129670,2882,,,"Boyaca, Colombia",10651.598191520125,2.222564972622812
,,Caldas,Colombia,2023-01-05 04:21:04,5.2983,-75.2479,119464,2565,,,"Caldas, Colombia",11967.28290867564,2.1470903368378758
,,Capital District,Colombia,2023-01-05 04:21:04,4.711,-74.0721,1865441,29932,,,"Capital District, Colombia",25165.927696293023,1.6045535613294657
,,Caqueta,Colombia,2023-01-05 04:21:04,0.8699,-73.8419,25617,1041,,,"Caqueta, Colombia",6380.498593983895,4.063707694109381
,,Casanare,Colombia,2023-01-05 04:21:04,5.7589,-71.5724,42966,1025,,,"Casanare, Colombia",10217.738713543748,2.3856072243169018
,,Cauca,Colombia,2023-01-05 04:21:04,2.705,-76.826,76382,1849,,,"Cauca, Colombia",5215.611189712718,2.4207273965070306
,,Cesar,Colombia,2023-01-05 04:21:04,9.3373,-73.6536,109197,2689,,,"Cesar, Colombia",9095.39936730264,2.462521864153777
,,Choco,Colombia,2023-01-05 04:21:04,5.2528,-76.826,18858,429,,,"Choco, Colombia",3526.006589058872,2.2748965956092904
,,Cordoba,Colombia,2023-01-05 04:21:04,8.0493,-75.574,122351,3957,,,"Cordoba, Colombia",6855.231140144208,3.234137849302417
,,Cundinamarca,Colombia,2023-01-05 04:21:04,5.026,-74.03,328889,7377,,,"Cundinamarca, Colombia",11266.9489493193,2.2430059989844597
,,Guainia,Colombia,2023-01-05 04:21:04,2.5854,-68.5247,2793,37,,,"Guainia, Colombia",5804.96321237062,1.3247404224847834
,,Guaviare,Colombia,2023-01-05 04:21:04,1.0654,-73.2603,5671,105,,,"Guaviare, Colombia",6851.764592168376,1.851525304179157
,,Huila,Colombia,2023-01-05 04:21:04,2.5359,-75.5277,103120,3583,,,"Huila, Colombia",9371.256995272568,3.4745927075252134
,,La Guajira,Colombia,2023-01-05 04:21:04,11.3548,-72.5205,58036,1545,,,"La Guajira, Colombia",6590.805850822204,2.662140740230202
,,Magdalena,Colombia,2023-01-05 04:21:04,10.4113,-74.4057,117678,3654,,,"Magdalena, Colombia",8770.512451686087,3.105083363075511
,,Meta,Colombia,2023-01-05 04:21:04,3.272,-73.0877,107583,2601,,,"Meta, Colombia",10347.28513968157,2.4176682189565266
,,Narino,Colombia,2023-01-05 04:21:04,1.2892,-77.3579,107970,3391,,,"Narino, Colombia",6621.521508752649,3.1406872279336855
,,Norte de Santander,Colombia,2023-01-05 04:21:04,7.9463,-72.8988,124934,5182,,,"Norte de Santander, Colombia",8375.338291024469,4.147790033137497
,,Putumayo,Colombia,2023-01-05 04:21:04,0.436,-75.5277,21853,789,,,"Putumayo, Colombia",6276.315260409786,3.610488262481124
,,Quindio,Colombia,2023-01-05 04:21:04,4.461,-75.6674,72879,2079,,,"Quindio, Colombia",13498.510846372688,2.8526736096818013
,,Risaralda,Colombia,2023-01-05 04:21:04,5.3158,-75.9928,109727,2502,,,"Risaralda, Colombia",11631.003147124076,2.2802045075505575
,,San Andres y Providencia,Colombia,2023-01-05 04:21:04,12.5567,-81.7185,10345,156,,,"San Andres y Providencia, Colombia",16881.527415143602,1.5079748670855486
,,Santander,Colombia,2023-01-05 04:21:04,6.6437,-73.6536,294839,8340,,,"Santander, Colombia",13494.782448301636,2.828662422542472
,,Sucre,Colombia,2023-01-05 04:21:04,8.814,-74.7233,67085,1745,,,"Sucre, Colombia",7413.829496840958,2.6011776104941493
,,Tolima,Colombia,2023-01-05 04:21:04,4.0925,-75.1545,127031,4079,,,"Tolima, Colombia",9549.860282802343,3.2110272295738835
,,Unknown,Colombia,2023-01-05 04:21:04,,,0,2,,,"Unknown, Colombia",,
,,Valle del Cauca,Colombia,2023-01-05 04:21:04,3.8009,-76.6413,567260,15378,,,"Valle del Cauca, Colombia",12673.69186793408,2.710926206677714
,,Vaupes,Colombia,2023-01-05 04:21:04,0.8554,-70.812,1960,22,,,"Vaupes, Colombia",4804.274824129226,1.1224489795918366
,,Vichada,Colombia,2023-01-05 04:21:04,4.4234,-69.2878,3469,64,,,"Vichada, Colombia",3217.7574948055803,1.8449120784087634
,,,Comoros,2023-01-05 04:21:04,-11.6455,43.3333,8983,161,,,Comoros,1033.0096194205348,1.7922742958922409
,,,Congo (Brazzaville),2023-01-05 04:21:04,-0.228,15.8277,25375,386,,,Congo (Brazzaville),459.8509774755477,1.5211822660098522
,,,Congo (Kinshasa),2023-01-05 04:21:04,-4.0383,21.7587,95173,1462,,,Congo (Kinshasa),106.26564094506602,1.5361499584966325
,,,Costa Rica,2023-01-05 04:21:04,9.7489,-83.7534,1166842,9085,,,Costa Rica,22905.690763889463,0.7785972736668718
,,,Cote d'Ivoire,2023-01-05 04:21:04,7.54,-5.5471,87949,832,,,Cote d'Ivoire,333.4145238837642,0.9460027970755779
,,,Croatia,2023-01-05 04:21:04,45.1,15.2,1264770,17646,,,Croatia,30808.46366181209,1.3951943831684812
,,,Cuba,2023-01-05 04:21:04,21.521757,-77.781167,1112067,8530,,,Cuba,9818.175172531672,0.7670401153887311
,,,Cyprus,2023-01-05 04:21:04,35.1264,33.4299,631111,1258,,,Cyprus,52271.93855027618,0.19933102100898256
,,,Czechia,2023-01-05 04:21:04,49.8175,15.473,4581596,42168,,,Czechia,42782.740693746615,0.9203779643600177
,,Faroe Islands,Denmark,2023-01-05 04:21:04,61.8926,-6.9118,34658,28,,,"Faroe Islands, Denmark",70926.02066919062,0.08078942812626233
,,Greenland,Denmark,2023-01-05 04:21:04,71.7069,-42.6043,11971,21,,,"Greenland, Denmark",21086.09878108927,0.1754239411912121
,,,Denmark,2023-01-05 04:21:04,56.2639,9.5018,3392457,7864,,,Denmark,58569.373345512926,0.23180839138123194
,,,Diamond Princess,2023-01-05 04:21:04,,,712,13,,,Diamond Princess,,1.8258426966292134
,,,Djibouti,2023-01-05 04:21:04,11.8251,42.5903,15690,189,,,Djibouti,1588.0534654788148,1.2045889101338432
,,,Dominica,2023-01-05 04:21:04,15.415,-61.371,15760,74,,,Dominica,21891.625342056646,0.46954314720812185
,,,Dominican Republic,2023-01-05 04:21:04,18.7357,-70.1627,658863,4384,,,Dominican Republic,6073.643350826113,0.6653887075158265
,,,Ecuador,2023-01-05 04:21:04,-1.8312,-78.1834,1040463,35940,,,Ecuador,5897.293326667823,3.454231433506045
,,,Egypt,2023-01-05 04:21:04,26.820553,30.802498,515645,24802,,,Egypt,503.8823551841115,4.8098982827332755
,,,El Salvador,2023-01-05 04:21:04,13.7942,-88.8965,201785,4230,,,El Salvador,3110.9890057369485,2.0962906063384295
,,,Equatorial Guinea,2023-01-05 04:21:04,1.6508,10.2679,17186,183,,,Equatorial Guinea,1224.9596396255126,1.0648202024903992
,,,Eritrea,2023-01-05 04:21:04,15.1794,39.7823,10189,103,,,Eritrea,287.3032491575324,1.0108941014819903
,,,Estonia,2023-01-05 04:21:04,58.5953,25.0136,612451,2872,,,Estonia,46169.09114620829,0.4689354740215952
