Country,Latitude,Longitude,OOSR_Pre0Primary_Age,OOSR_Primary_Age,OOSR_Lower_Secondary_Age,OOSR_Upper_Secondary_Age,Completion_Rate_Primary,Completion_Rate_Lower_Secondary,Completion_Rate_Upper_Secondary,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,Gender
Colombia,4.570868,74.297333,1,2,5,20,95,81,78,79,64,55,48,50,35,99,14.88,114.5,55.3,9.71,1
Comoros,11.6455,43.3333,71,18,20,52,75,47,24,0,0,0,0,0,0,78,31.88,99.5,9.0,4.34,0
Comoros,11.6455,43.3333,70,18,18,48,77,45,32,0,0,0,0,0,0,78,31.88,99.5,9.0,4.34,1
Cook Islands,21.236736,159.777671,3,2,4,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Cook Islands,21.236736,159.777671,0,2,6,27,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Costa Rica,9.748917,83.753428,4,3,1,5,99,76,60,89,84,68,60,58,40,100,13.97,113.3,55.2,11.85,1
Costa Rica,9.748917,83.753428,4,3,3,7,98,70,56,89,84,68,60,58,40,99,13.97,113.3,55.2,11.85,0
Croatia,45.1,15.2,5,0,3,16,0,0,0,0,0,0,67,78,69,0,9.0,96.5,67.9,6.93,0
Croatia,45.1,15.2,5,0,1,11,0,0,0,0,0,0,67,78,69,0,9.0,96.5,67.9,6.93,1
Cuba,21.521757,77.781167,2,1,10,20,100,95,85,0,0,0,0,0,0,0,10.17,101.9,41.4,1.64,0
Cuba,21.521757,77.781167,2,1,10,15,98,98,86,0,0,0,0,0,0,0,10.17,101.9,41.4,1.64,1
Cyprus,35.126413,33.429859,1,0,2,6,0,0,0,0,74,0,0,56,63,0,10.46,99.3,75.9,7.27,0
Cyprus,35.126413,33.429859,2,1,2,8,0,0,0,0,74,0,0,56,63,0,10.46,99.3,75.9,7.27,1
Czech Republic,49.817492,15.472962,10,0,2,3,0,0,0,97,78,0,0,79,80,0,10.7,100.7,64.1,1.93,1
Czech Republic,49.817492,15.472962,10,1,1,3,0,0,0,97,78,0,0,79,80,0,10.7,100.7,64.1,1.93,0
Democratic Republic of the Congo,4.038333,21.758664,0,0,0,0,66,52,27,0,0,0,0,0,0,0,41.18,108.0,6.6,4.24,1
Democratic Republic of the Congo,4.038333,21.758664,0,0,0,0,67,58,36,0,0,0,0,0,0,0,41.18,108.0,6.6,4.24,0
Denmark,56.26392,9.501785,2,0,1,9,0,0,0,97,80,0,0,84,85,0,10.6,101.3,80.6,4.91,1
Denmark,56.26392,9.501785,2,1,0,11,0,0,0,97,80,0,0,84,85,0,10.6,101.3,80.6,4.91,0
Djibouti,11.825138,42.590275,88,35,48,67,0,0,0,0,0,0,0,0,0,0,21.47,75.3,5.3,10.3,1
Djibouti,11.825138,42.590275,85,32,48,66,0,0,0,0,0,0,0,0,0,0,21.47,75.3,5.3,10.3,0
Dominica,15.414999,61.370976,7,3,1,17,0,0,0,0,0,0,0,0,0,0,12.0,114.7,7.2,0.0,1
Dominica,15.414999,61.370976,21,4,3,19,0,0,0,0,0,0,0,0,0,0,12.0,114.7,7.2,0.0,0
Dominican Republic,18.735693,70.162651,7,4,6,23,88,76,48,44,25,21,12,21,9,0,19.51,105.7,59.9,5.84,0
Dominican Republic,18.735693,70.162651,6,4,6,21,94,89,66,44,25,21,12,21,9,0,19.51,105.7,59.9,5.84,1
East Timor,8.874217,125.727539,51,7,12,27,77,63,49,0,0,0,0,0,0,82,29.42,115.3,17.8,4.55,0
East Timor,8.874217,125.727539,48,3,9,22,85,70,55,0,0,0,0,0,0,85,29.42,115.3,17.8,4.55,1
Ecuador,1.831239,78.183406,8,0,6,20,98,89,78,74,65,38,48,49,29,0,19.72,103.3,44.9,3.97,0
Ecuador,1.831239,78.183406,3,0,3,18,98,92,79,74,65,38,48,49,29,0,19.72,103.3,44.9,3.97,1
Egypt,26.820553,30.802498,63,0,3,23,91,79,43,0,0,0,0,0,21,0,26.38,106.3,35.2,10.76,0
Egypt,26.820553,30.802498,63,0,2,24,92,81,41,0,0,0,0,0,21,0,26.38,106.3,35.2,10.76,1
El Salvador,13.794185,88.89653,17,13,17,35,89,74,36,0,0,0,0,0,0,98,18.25,94.8,29.4,4.11,1
El Salvador,13.794185,88.89653,18,14,17,33,84,73,34,0,0,0,0,0,0,98,18.25,94.8,29.4,4.11,0
Equatorial Guinea,1.650801,10.267895,57,56,0,0,0,0,0,0,0,0,0,0,0,0,33.24,61.8,1.9,6.43,0
Equatorial Guinea,1.650801,10.267895,55,55,0,0,0,0,0,0,0,0,0,0,0,0,33.24,61.8,1.9,6.43,1
Eritrea,15.179384,39.782334,73,50,40,53,0,0,0,0,0,0,0,0,0,93,30.3,68.4,3.4,5.14,1
Eritrea,15.179384,39.782334,73,45,32,45,0,0,0,0,0,0,0,0,0,94,30.3,68.4,3.4,5.14,0
Estonia,58.595272,25.013607,12,2,2,1,0,0,0,0,0,0,0,89,90,0,10.9,97.2,69.6,5.11,0
Estonia,58.595272,25.013607,12,2,0,2,0,0,0,0,0,0,0,89,90,0,10.9,97.2,69.6,5.11,1
Eswatini,26.522503,31.465866,0,17,3,18,77,54,33,0,0,0,0,0,0,97,0.0,0.0,0.0,0.0,1
Eswatini,26.522503,31.465866,0,15,3,14,64,47,31,0,0,0,0,0,0,94,0.0,0.0,0.0,0.0,0
Ethiopia,9.145,40.489673,64,18,49,75,48,22,14,0,0,0,0,0,0,0,32.34,101.0,8.1,2.08,1
Ethiopia,9.145,40.489673,62,11,45,73,47,19,11,0,0,0,0,0,0,0,32.34,101.0,8.1,2.08,0
Federated States of Micronesia,7.425554,150.550812,30,9,15,0,0,0,0,0,0,0,0,0,0,0,22.82,97.2,14.1,0.0,0
Federated States of Micronesia,7.425554,150.550812,34,11,10,0,0,0,0,0,0,0,0,0,0,0,22.82,97.2,14.1,0.0,1
Fiji,17.713371,178.065032,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.28,106.4,16.1,4.1,0
Fiji,17.713371,178.065032,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21.28,106.4,16.1,4.1,1
Finland,61.92411,25.748151,2,1,1,3,0,0,0,98,82,0,0,86,85,0,8.6,100.2,88.2,6.59,0
Finland,61.92411,25.748151,3,1,0,5,0,0,0,98,82,0,0,86,85,0,8.6,100.2,88.2,6.59,1
France,46.227638,2.213749,0,0,1,4,0,0,0,0,0,94,58,79,79,0,11.3,102.5,65.6,8.43,1
France,46.227638,2.213749,0,0,1,5,0,0,0,0,0,94,58,79,79,0,11.3,102.5,65.6,8.43,0
Gabon,0.803689,11.609444,0,0,0,0,75,33,14,0,0,0,0,0,0,91,31.61,139.9,8.3,20.0,1
Gabon,0.803689,11.609444,0,0,0,0,66,32,14,0,0,0,0,0,0,88,31.61,139.9,8.3,20.0,0
Georgia,42.315407,43.356892,0,2,2,4,100,98,83,86,47,0,0,36,39,0,13.47,98.6,63.9,14.4,1
Georgia,42.315407,43.356892,0,2,1,7,100,98,79,86,47,0,0,36,39,0,13.47,98.6,63.9,14.4,0
Germany,51.165691,10.451526,1,0,4,16,0,0,0,0,0,95,77,79,79,0,9.5,104.0,70.2,3.04,1
Germany,51.165691,10.451526,1,1,6,12,0,0,0,0,0,95,77,79,79,0,9.5,104.0,70.2,3.04,0
Ghana,7.946527,1.023194,12,0,8,28,73,50,9,0,0,0,0,0,0,92,29.41,104.8,15.7,4.33,1
Ghana,7.946527,1.023194,14,1,13,28,69,45,12,0,0,0,0,0,0,93,29.41,104.8,15.7,4.33,0
Greece,39.074208,21.824312,5,1,5,6,0,0,0,0,0,0,0,69,64,99,8.1,99.6,136.6,17.24,1
Greece,39.074208,21.824312,6,2,3,4,0,0,0,0,0,0,0,69,64,99,8.1,99.6,136.6,17.24,0
Grenada,12.1165,61.679,4,0,0,8,0,0,0,0,0,0,0,0,0,0,16.47,106.9,104.6,0.0,0
Grenada,12.1165,61.679,1,0,0,7,0,0,0,0,0,0,0,0,0,0,16.47,106.9,104.6,0.0,1
Guatemala,15.783471,90.230759,16,11,30,57,80,52,27,68,52,36,34,30,11,0,24.56,101.9,21.8,2.46,0
Guatemala,15.783471,90.230759,16,10,35,61,76,45,25,68,52,36,34,30,11,0,24.56,101.9,21.8,2.46,1
Guinea,9.945587,9.696645,57,15,43,59,52,33,22,0,0,0,0,0,0,70,36.36,91.5,11.6,4.3,0
Guinea,9.945587,9.696645,60,29,60,76,39,20,13,0,0,0,0,0,0,43,36.36,91.5,11.6,4.3,1
Guinea0Bissau,11.803749,15.180413,0,0,0,0,29,18,14,0,0,0,0,0,0,0,35.13,118.7,2.6,2.47,0
Guinea0Bissau,11.803749,15.180413,0,0,0,0,25,16,8,0,0,0,0,0,0,0,35.13,118.7,2.6,2.47,1
Guyana,4.860416,58.93018,0,0,0,0,96,80,49,0,0,0,0,0,0,0,19.97,97.8,11.6,11.85,0
Guyana,4.860416,58.93018,0,0,0,0,99,88,64,0,0,0,0,0,0,0,19.97,97.8,11.6,11.85,1
Haiti,18.971187,72.285215,0,0,0,0,58,38,16,0,0,0,0,0,0,0,24.35,113.6,1.1,13.78,1
Haiti,18.971187,72.285215,0,0,0,0,49,32,17,0,0,0,0,0,0,0,24.35,113.6,1.1,13.78,0
Honduras,15.199999,86.241905,24,11,44,58,81,46,29,70,57,31,32,30,15,95,21.6,91.5,26.2,5.39,0
Honduras,15.199999,86.241905,22,14,31,54,87,52,35,70,57,31,32,30,15,98,21.6,91.5,26.2,5.39,1
Hungary,47.162494,19.503304,12,4,3,12,0,0,0,0,0,97,75,75,67,0,9.6,100.8,48.5,3.4,0
Hungary,47.162494,19.503304,14,5,3,12,0,0,0,0,0,97,75,75,67,0,9.6,100.8,48.5,3.4,1
Iceland,64.963051,19.020835,4,0,1,15,0,0,0,0,0,0,0,74,79,0,12.0,100.4,71.8,2.84,0
Iceland,64.963051,19.020835,3,1,0,11,0,0,0,0,0,0,0,74,79,0,12.0,100.4,71.8,2.84,1
India,20.593684,78.96288,0,3,18,47,92,82,46,47,53,46,44,0,0,93,17.86,113.0,28.1,5.36,0
India,20.593684,78.96288,0,1,12,48,91,79,40,47,53,46,44,0,0,90,17.86,113.0,28.1,5.36,1
Indonesia,0.789275,113.921327,8,3,19,23,91,64,40,0,18,0,0,30,28,100,18.07,106.4,36.3,4.69,0
Indonesia,0.789275,113.921327,2,8,14,22,92,59,37,0,18,0,0,30,28,100,18.07,106.4,36.3,4.69,1
Iran,32.427908,53.688046,50,0,3,25,0,0,0,66,33,0,0,0,34,0,18.78,110.7,68.1,11.38,0
Iran,32.427908,53.688046,49,0,6,27,0,0,0,66,33,0,0,0,34,0,18.78,110.7,68.1,11.38,1
Iraq,33.223191,43.679291,0,0,0,0,78,46,45,0,0,0,0,0,0,0,29.08,108.7,16.2,12.82,0
Iraq,33.223191,43.679291,0,0,0,0,73,47,43,0,0,0,0,0,0,0,29.08,108.7,16.2,12.82,1
Israel,31.046051,34.851612,0,0,0,0,0,0,0,91,0,0,0,69,66,0,20.8,104.9,63.4,3.86,1
Israel,31.046051,34.851612,1,0,0,0,0,0,0,91,0,0,0,69,66,0,20.8,104.9,63.4,3.86,0
Italy,41.87194,12.56738,6,3,2,6,0,0,0,98,69,0,0,77,62,100,7.3,101.9,61.9,9.89,0
Italy,41.87194,12.56738,7,3,2,5,0,0,0,98,69,0,0,77,62,100,7.3,101.9,61.9,9.89,1
Ivory Coast,7.539989,5.54708,78,2,41,52,60,36,17,17,33,22,3,0,0,64,35.74,99.8,9.3,3.32,0
Ivory Coast,7.539989,5.54708,78,8,48,64,53,22,15,17,33,22,3,0,0,53,35.74,99.8,9.3,3.32,1
Jamaica,18.109581,77.297508,6,0,17,22,100,97,83,0,0,0,0,0,0,0,16.1,91.0,27.1,8.0,1
Jamaica,18.109581,77.297508,8,0,19,25,99,97,80,0,0,0,0,0,0,0,16.1,91.0,27.1,8.0,0
Japan,36.204824,138.252924,0,0,0,0,0,0,0,0,95,0,0,83,89,0,7.4,98.8,63.2,2.29,0
Japan,36.204824,138.252924,0,0,0,0,0,0,0,0,95,0,0,83,89,0,7.4,98.8,63.2,2.29,1
Jordan,31.302848,36.786839,55,19,30,43,97,88,63,0,0,0,0,59,41,99,21.98,81.5,34.4,14.72,1
Jordan,31.302848,36.786839,55,18,29,48,96,86,49,0,0,0,0,59,41,99,21.98,81.5,34.4,14.72,0
Kazakhstan,48.019573,66.923684,23,9,0,0,100,100,96,0,0,98,80,36,51,100,21.77,104.4,61.7,4.59,1
Kazakhstan,48.019573,66.923684,22,10,0,0,100,100,95,0,0,98,80,36,51,100,21.77,104.4,61.7,4.59,0
Kenya,0.023559,37.906193,0,0,0,0,82,69,38,53,42,0,0,0,0,88,28.75,103.2,11.5,2.64,1
Kenya,0.023559,37.906193,0,0,0,0,77,61,44,53,42,0,0,0,0,88,28.75,103.2,11.5,2.64,0
Kiribati,1.8368976,157.3768317,0,0,0,0,96,88,20,0,0,0,0,0,0,0,27.89,101.3,0.0,0.0,1
Kiribati,1.8368976,157.3768317,0,0,0,0,92,69,13,0,0,0,0,0,0,0,27.89,101.3,0.0,0.0,0
Kuwait,29.31166,47.481766,16,1,4,17,0,0,0,0,12,0,0,0,18,100,13.94,92.4,54.4,2.18,1
Kuwait,29.31166,47.481766,21,4,9,20,0,0,0,0,12,0,0,0,18,99,13.94,92.4,54.4,2.18,0
Kyrgyzstan,41.20438,74.766098,10,0,3,26,100,99,85,39,0,36,35,0,0,100,27.1,107.6,41.3,6.33,1
Kyrgyzstan,41.20438,74.766098,11,0,2,30,99,99,89,39,0,36,35,0,0,100,27.1,107.6,41.3,6.33,0
Laos,19.85627,102.495496,30,9,28,46,83,53,31,0,0,0,0,0,0,0,23.55,102.4,15.0,0.63,1
Laos,19.85627,102.495496,31,8,27,42,84,54,32,0,0,0,0,0,0,0,23.55,102.4,15.0,0.63,0
Latvia,56.879635,24.603189,2,2,1,5,0,0,0,99,0,0,0,78,83,100,10.0,99.4,88.1,6.52,0
Latvia,56.879635,24.603189,2,1,1,4,0,0,0,99,0,0,0,78,83,100,10.0,99.4,88.1,6.52,1
Lebanon,33.854721,35.862285,0,0,0,0,0,0,0,0,0,0,0,32,35,100,17.55,95.1,26.3,6.23,1
Lebanon,33.854721,35.862285,0,0,0,0,0,0,0,0,0,0,0,32,35,100,17.55,95.1,26.3,6.23,0
Lesotho,29.609988,28.233608,57,2,13,29,92,55,37,13,0,0,0,0,0,0,26.81,120.9,10.2,23.41,1
Lesotho,29.609988,28.233608,58,3,21,38,69,33,27,13,0,0,0,0,0,0,26.81,120.9,10.2,23.41,0
Liberia,6.428055,9.429499,21,21,26,31,33,23,9,0,0,0,0,0,0,0,33.04,85.1,11.9,2.81,1
Liberia,6.428055,9.429499,21,22,17,20,36,29,18,0,0,0,0,0,0,0,33.04,85.1,11.9,2.81,0
Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,109.0,60.5,18.56,0
Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,109.0,60.5,18.56,1
Liechtenstein,47.1410392,9.520935,1,3,1,10,0,0,0,0,0,0,0,0,0,0,9.9,104.7,35.6,0.0,0
Liechtenstein,47.1410392,9.520935,2,2,7,22,0,0,0,0,0,0,0,0,0,0,9.9,104.7,35.6,0.0,1
Lithuania,55.169438,23.881275,3,0,0,2,0,0,0,0,0,97,81,76,74,0,10.0,103.9,72.4,6.35,1
Lithuania,55.169438,23.881275,3,0,0,4,0,0,0,0,0,97,81,76,74,0,10.0,103.9,72.4,6.35,0
Luxembourg,49.815273,6.129583,1,1,5,17,0,0,0,0,0,0,0,71,73,0,10.3,102.3,19.2,5.36,1
Luxembourg,49.815273,6.129583,1,1,4,22,0,0,0,0,0,0,0,71,73,0,10.3,102.3,19.2,5.36,0
Madagascar,18.766947,46.869107,43,0,31,63,52,26,16,13,0,4,5,0,0,82,32.66,142.5,5.4,1.76,0
Madagascar,18.766947,46.869107,38,0,29,64,60,27,15,13,0,4,5,0,0,81,32.66,142.5,5.4,1.76,1
Malawi,13.254308,34.301525,0,0,19,62,43,23,15,0,0,0,0,0,0,0,34.12,142.5,0.8,5.65,0
Malawi,13.254308,34.301525,0,0,18,76,52,21,13,0,0,0,0,0,0,0,34.12,142.5,0.8,5.65,1
Malaysia,4.210484,101.975766,1,0,15,41,0,0,0,0,0,0,0,54,59,97,16.75,105.3,45.1,3.32,0
Malaysia,4.210484,101.975766,1,0,12,32,0,0,0,0,0,0,0,54,59,97,16.75,105.3,45.1,3.32,1
Maldives,3.202778,73.22068,8,3,0,0,0,0,0,0,0,0,0,0,0,0,14.2,97.1,31.2,6.14,0
Maldives,3.202778,73.22068,5,1,0,0,0,0,0,0,0,0,0,0,0,0,14.2,97.1,31.2,6.14,1
Mali,17.570692,3.996166,53,38,49,71,50,36,23,0,0,0,0,0,0,58,41.54,75.6,4.5,7.22,0
Mali,17.570692,3.996166,57,44,56,79,41,25,12,0,0,0,0,0,0,43,41.54,75.6,4.5,7.22,1
Malta,35.937496,14.375416,5,0,1,7,0,0,0,73,0,0,0,64,62,100,9.2,105.0,54.3,3.47,1
Malta,35.937496,14.375416,0,0,2,10,0,0,0,73,0,0,0,64,62,99,9.2,105.0,54.3,3.47,0
Marshall Islands,7.131474,171.184478,31,27,29,41,0,0,0,0,0,0,0,0,0,0,29.03,84.7,23.7,0.0,1
Marshall Islands,7.131474,171.184478,32,25,33,45,0,0,0,0,0,0,0,0,0,0,29.03,84.7,23.7,0.0,0
Mauritania,21.00789,10.940835,0,21,25,59,58,40,23,0,0,0,0,0,0,0,33.69,99.9,5.0,9.55,1
Mauritania,21.00789,10.940835,0,25,31,63,68,53,31,0,0,0,0,0,0,0,33.69,99.9,5.0,9.55,0
Mauritius,20.348404,57.552152,8,1,4,17,0,0,0,0,0,88,78,0,0,99,10.2,101.1,40.6,6.67,1
Mauritius,20.348404,57.552152,9,3,6,25,0,0,0,0,0,88,78,0,0,99,10.2,101.1,40.6,6.67,0
Mexico,23.634501,102.552784,0,0,7,24,98,90,60,78,77,58,69,55,44,99,17.6,105.8,40.2,3.42,1
Mexico,23.634501,102.552784,2,0,9,28,98,87,56,78,77,58,69,55,44,99,17.6,105.8,40.2,3.42,0
Moldova,47.411631,28.369885,5,9,15,36,99,95,63,0,0,0,0,57,50,0,10.1,90.6,39.8,5.47,0
Moldova,47.411631,28.369885,5,11,16,35,99,98,71,0,0,0,0,57,50,0,10.1,90.6,39.8,5.47,1
Monaco,43.7384176,7.4246158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0.0,0.0,0.0,1
Monaco,43.7384176,7.4246158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0.0,0.0,0.0,0
Mongolia,46.862496,103.846656,5,3,7,20,98,93,73,44,0,0,0,0,0,99,24.13,104.0,65.6,6.01,1
Mongolia,46.862496,103.846656,3,2,8,22,96,87,60,44,0,0,0,0,0,98,24.13,104.0,65.6,6.01,0
Montenegro,42.708678,19.37439,23,3,8,12,95,93,83,0,0,0,0,56,54,99,11.73,100.0,56.1,14.88,0
Montenegro,42.708678,19.37439,24,3,7,10,98,97,90,0,0,0,0,56,54,99,11.73,100.0,56.1,14.88,1
Montserrat,16.742498,62.187366,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Montserrat,16.742498,62.187366,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Morocco,31.791702,7.09262,39,3,11,30,0,0,0,36,16,0,0,27,14,97,18.94,113.9,35.9,9.02,1
Morocco,31.791702,7.09262,31,2,8,26,0,0,0,36,16,0,0,27,14,98,18.94,113.9,35.9,9.02,0
Mozambique,18.665695,35.529562,0,1,39,65,44,15,8,0,0,0,0,0,0,0,37.52,112.6,7.3,3.24,0
Mozambique,18.665695,35.529562,0,4,47,73,39,11,5,0,0,0,0,0,0,0,37.52,112.6,7.3,3.24,1
Myanmar,21.916221,95.955974,88,0,20,38,84,45,19,0,0,0,0,0,0,0,17.55,112.3,18.8,1.58,1
Myanmar,21.916221,95.955974,88,0,22,47,82,45,14,0,0,0,0,0,0,0,17.55,112.3,18.8,1.58,0
Namibia,22.95764,18.49041,33,0,0,0,75,48,33,0,0,35,6,0,0,94,28.64,124.2,22.9,20.27,0
Namibia,22.95764,18.49041,30,0,0,0,86,62,39,0,0,35,6,0,0,96,28.64,124.2,22.9,20.27,1
Nauru,0.522778,166.931503,3,0,4,60,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Nauru,0.522778,166.931503,11,0,13,52,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Nepal,28.394857,84.124008,17,0,1,13,83,75,28,0,0,0,0,0,0,91,19.89,142.1,12.4,1.41,1
Nepal,28.394857,84.124008,9,0,4,26,81,71,27,0,0,0,0,0,0,94,19.89,142.1,12.4,1.41,0
Netherlands,52.132633,5.291266,1,1,3,1,0,0,0,99,83,0,0,76,84,0,9.7,104.2,85.0,3.2,0
Netherlands,52.132633,5.291266,0,1,2,1,0,0,0,99,83,0,0,76,84,0,9.7,104.2,85.0,3.2,1
New Zealand,40.900557,174.885971,6,1,1,4,0,0,0,90,59,0,0,81,78,0,11.98,100.0,82.0,4.07,0
New Zealand,40.900557,174.885971,7,1,1,1,0,0,0,90,59,0,0,81,78,0,11.98,100.0,82.0,4.07,1
Nicaragua,12.865416,85.207229,0,0,0,0,0,0,0,61,44,31,20,0,0,0,20.64,120.6,17.4,6.84,1
Nicaragua,12.865416,85.207229,0,0,0,0,0,0,0,61,44,31,20,0,0,0,20.64,120.6,17.4,6.84,0
Niger,17.607789,8.081666,76,45,69,89,24,4,1,9,27,2,1,0,0,36,46.08,74.7,4.4,0.47,1
Niger,17.607789,8.081666,76,37,61,84,35,10,4,9,27,2,1,0,0,51,46.08,74.7,4.4,0.47,0
Nigeria,9.081999,8.675277,0,0,0,0,71,66,57,0,0,0,0,0,0,82,37.91,84.7,10.2,8.1,0
Nigeria,9.081999,8.675277,0,0,0,0,71,59,44,0,0,0,0,0,0,68,37.91,84.7,10.2,8.1,1
Niue,19.054445,169.867233,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Niue,19.054445,169.867233,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
North Korea,40.339852,127.510093,0,0,0,0,100,100,100,94,0,0,0,0,0,0,13.89,112.8,27.0,2.74,0
North Korea,40.339852,127.510093,0,0,0,0,100,100,100,94,0,0,0,0,0,0,13.89,112.8,27.0,2.74,1
North Macedonia,41.608635,21.745275,51,1,0,0,100,95,79,0,0,0,0,45,39,0,0.0,0.0,0.0,0.0,1
North Macedonia,41.608635,21.745275,51,1,0,0,97,93,86,0,0,0,0,45,39,0,0.0,0.0,0.0,0.0,0
Norway,60.472024,8.468946,3,0,0,8,0,0,0,99,86,0,70,81,81,0,10.4,100.3,82.0,3.35,0
Norway,60.472024,8.468946,3,0,1,7,0,0,0,99,86,0,70,81,81,0,10.4,100.3,82.0,3.35,1
Oman,21.4735329,55.975413,13,0,0,17,0,0,0,59,32,0,0,0,23,99,19.19,103.4,38.0,2.67,1
Oman,21.4735329,55.975413,16,0,0,8,0,0,0,59,32,0,0,0,23,98,19.19,103.4,38.0,2.67,0
Pakistan,30.375321,69.345116,0,0,0,0,64,55,24,35,0,0,0,0,0,0,28.25,94.3,9.0,4.45,0
Pakistan,30.375321,69.345116,14,0,0,0,55,45,23,35,0,0,0,0,0,0,28.25,94.3,9.0,4.45,1
Palau,7.51498,134.58252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,112.6,54.7,0.0,0
Palau,7.51498,134.58252,19,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,112.6,54.7,0.0,1
Palestinian National Authority,31.952162,35.233154,35,3,4,32,99,80,52,0,0,0,0,0,0,99,0.0,0.0,0.0,0.0,0
Palestinian National Authority,31.952162,35.233154,34,3,1,18,100,93,73,0,0,0,0,0,0,99,0.0,0.0,0.0,0.0,1
Panama,8.537981,80.782127,23,14,12,31,96,81,68,65,51,36,23,36,19,99,18.98,94.4,47.8,3.9,1
Panama,8.537981,80.782127,25,13,13,35,95,75,57,65,51,36,23,36,19,99,18.98,94.4,47.8,3.9,0
